Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,1,Yes,No,5,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,42.23,213.25,Yes
Female,0,Yes,No,32,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),67.52,2178.08,Yes
Female,1,No,No,16,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,No,One year,Yes,Electronic check,107.73,1718.02,No
Male,1,Yes,Yes,23,Yes,No,DSL,No internet service,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),51.51,1192.4,No
Male,1,No,No,43,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,42.6,1921.53,Yes
Male,1,No,Yes,35,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,94.04,3335.6,Yes
Female,1,No,No,45,Yes,No,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,82.74,3763.75,No
Male,0,No,No,34,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No,Two year,Yes,Mailed check,43.26,1427.64,No
Female,1,No,Yes,22,Yes,No,Fiber optic,No,No,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),19.48,443.93,No
Female,1,No,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Two year,No,Electronic check,69.25,278.64,Yes
Male,0,Yes,Yes,8,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Two year,No,Electronic check,46.85,371.38,Yes
Male,1,Yes,Yes,8,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),86.88,663.29,No
Female,0,No,No,17,No,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),96.86,1696.77,Yes
Male,1,No,Yes,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),113.19,2050.94,Yes
Female,0,No,No,68,Yes,Yes,No,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),104.74,7380.36,No
Female,1,No,No,39,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,47.38,1771.37,Yes
Male,0,No,No,22,Yes,No,No,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,112.61,2550.2,No
Female,1,Yes,No,51,Yes,No,No,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Mailed check,104.21,5347.0,No
Male,1,No,No,18,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Mailed check,36.1,639.42,No
Male,0,No,Yes,38,Yes,No phone service,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,72.03,2856.2,Yes
Male,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,88.75,6187.81,Yes
Female,1,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,65.57,4902.7,No
Male,0,Yes,No,67,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,66.67,4472.29,No
Male,0,No,No,24,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),103.78,2490.67,No
Male,0,Yes,No,69,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,103.35,7185.0,No
Female,0,No,No,71,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,Two year,Yes,Electronic check,37.38,2621.21,No
Male,1,No,Yes,35,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,43.76,1456.65,No
Female,1,No,Yes,57,Yes,No,DSL,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),82.37,4917.37,No
Female,1,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,One year,No,Credit card (automatic),35.15,404.65,No
Male,0,No,No,48,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),57.9,2898.95,No
Female,1,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),103.13,5888.22,No
Male,0,Yes,No,49,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),67.07,3214.01,No
Male,1,No,No,21,No,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,No,One year,No,Electronic check,49.05,1031.98,No
Male,1,No,Yes,15,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,78.43,1232.51,Yes
Female,1,No,No,49,Yes,No,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,109.14,5394.18,No
Female,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),87.52,1337.98,No
Male,0,Yes,No,26,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),83.87,2234.05,No
Female,0,Yes,No,41,Yes,No phone service,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),23.92,944.32,No
Male,0,No,No,37,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),88.88,3343.16,No
Male,0,No,No,20,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,28.44,540.95,No
Male,1,Yes,No,16,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),27.07,412.5,No
Male,0,No,No,37,Yes,Yes,No,Yes,Yes,No internet service,No,No,No,Two year,No,Electronic check,34.83,1291.57,No
Female,0,Yes,Yes,11,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),78.47,850.32,No
Female,1,No,No,20,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),83.39,1712.46,No
Male,1,Yes,Yes,15,No,Yes,DSL,No,No internet service,No,Yes,No,Yes,One year,No,Mailed check,96.24,1400.82,No
Female,1,Yes,Yes,4,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,No,Electronic check,56.62,222.17,Yes
Male,1,Yes,Yes,15,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,105.32,1600.0,Yes
Male,1,Yes,Yes,18,Yes,Yes,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,104.88,1934.09,Yes
Male,0,Yes,Yes,57,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,One year,No,Mailed check,47.57,2726.62,No
Male,1,Yes,Yes,65,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,57.68,3924.08,No
Female,1,No,Yes,64,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,One year,No,Mailed check,102.83,6303.55,No
Female,1,Yes,No,16,Yes,No phone service,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,110.16,1700.28,No
Male,0,No,No,50,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),72.43,3585.74,No
Male,0,Yes,No,33,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),72.55,2377.23,No
Male,0,No,No,41,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),96.49,3971.89,No
Male,0,Yes,No,35,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,92.12,3105.14,No
Male,0,No,No,20,No,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,48.09,983.61,No
Male,0,No,No,16,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),102.61,1607.6,Yes
Male,0,Yes,No,66,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,115.67,7463.73,Yes
Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),53.58,3162.54,No
Male,1,No,No,47,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),26.16,1255.21,No
Female,1,No,No,48,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,91.64,4257.41,No
Male,1,No,No,20,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,109.23,2149.42,No
Male,1,Yes,No,24,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.9,2119.26,Yes
Male,0,Yes,Yes,47,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.89,4042.4,No
Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),98.53,3911.69,No
Male,0,No,No,19,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),65.92,1296.14,Yes
Male,1,No,Yes,9,Yes,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,65.7,561.87,Yes
Male,1,No,No,44,No,Yes,DSL,No,Yes,No,Yes,No internet service,No,One year,No,Electronic check,66.83,2815.03,No
Female,0,No,Yes,70,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,24.48,1663.73,No
Female,0,Yes,Yes,57,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,98.04,5537.0,No
Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,117.21,8189.09,No
Male,0,Yes,No,25,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Electronic check,67.13,1704.41,No
Female,0,Yes,No,50,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),106.87,5444.55,No
Male,0,Yes,Yes,11,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),94.87,1014.17,No
Female,1,Yes,No,34,No,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,52.39,1858.24,No
Male,1,No,No,42,Yes,No,No,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,62.58,2526.93,No
Male,1,No,No,38,No,No phone service,No,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,85.51,3187.25,No
Male,1,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),41.29,1158.05,Yes
Male,0,Yes,No,4,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,50.18,196.48,Yes
Male,0,No,No,69,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),72.29,4851.69,No
Male,0,No,Yes,38,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,56.59,2066.12,Yes
Female,1,Yes,Yes,49,Yes,No,DSL,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.78,1689.31,Yes
Female,0,No,No,35,No,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),39.19,1305.95,No
Female,1,No,No,68,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),36.14,2402.55,No
Male,1,Yes,No,10,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,33.12,347.54,Yes
Female,1,No,Yes,69,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,74.09,5033.33,No
Female,0,Yes,No,46,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),76.85,3416.27,No
Female,0,No,No,56,Yes,Yes,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),91.97,4953.5,No
Male,1,Yes,Yes,5,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Electronic check,75.56,373.74,Yes
Male,1,No,No,12,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),105.34,1203.23,No
Male,0,No,Yes,72,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,100.56,7166.61,No
Female,1,No,No,24,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,38.89,949.49,No
Female,1,Yes,Yes,22,No,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),58.96,1355.44,No
Female,1,Yes,No,69,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,103.01,6951.85,No
Male,1,Yes,No,18,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),43.89,780.96,No
Male,0,Yes,No,30,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,62.85,1803.66,No
Male,0,Yes,No,22,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,Two year,No,Electronic check,53.79,1171.31,No
Female,0,No,No,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,86.26,2605.18,No
Female,0,Yes,No,67,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,81.37,5355.47,No
Male,0,No,No,28,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,One year,Yes,Electronic check,112.86,3002.59,Yes
Male,0,Yes,No,52,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,93.09,4963.54,No
Female,1,No,No,17,No,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,One year,No,Electronic check,32.61,553.39,Yes
Female,1,Yes,No,5,Yes,Yes,No,No internet service,Yes,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),73.85,369.09,No
Male,1,Yes,No,63,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,31.99,2036.98,No
Male,1,Yes,No,30,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25.27,778.79,Yes
Male,0,Yes,No,42,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,33.19,1431.08,No
Male,0,No,No,65,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No,One year,No,Bank transfer (automatic),30.31,2033.36,No
Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,No,Electronic check,47.19,743.31,No
Male,0,Yes,Yes,50,Yes,No,DSL,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),26.43,1263.79,Yes
Female,0,No,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),102.15,396.51,Yes
Male,1,No,No,61,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,110.67,7033.47,No
Male,1,Yes,Yes,65,Yes,No phone service,No,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,32.94,2214.63,No
Male,0,Yes,No,25,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,36.54,874.37,No
Male,0,Yes,No,44,Yes,No,No,No,No internet service,Yes,Yes,No,Yes,One year,No,Mailed check,86.84,3722.25,No
Male,0,No,No,6,No,No,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,96.12,567.21,No
Female,1,Yes,No,35,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),64.24,2284.39,No
Female,0,No,No,37,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),79.15,3043.71,No
Male,0,Yes,No,6,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),49.54,305.17,No
Female,1,No,No,52,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.18,3156.42,No
Male,1,No,No,29,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),105.17,3036.45,No
Female,1,Yes,No,45,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),32.48,1472.8,No
Female,0,Yes,No,37,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Yes,One year,No,Electronic check,70.81,2623.21,No
Female,0,Yes,No,12,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No,No,Two year,Yes,Mailed check,92.49,1111.94,No
Male,1,No,No,12,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,61.84,764.24,No
Female,0,No,No,27,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,112.93,3137.17,No
Female,0,No,Yes,42,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,51.44,2130.45,No
Male,1,Yes,No,72,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Mailed check,91.23,6882.68,No
Male,1,No,Yes,5,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),82.39,409.05,Yes
Female,0,No,Yes,39,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),21.02,818.39,No
Male,0,Yes,Yes,56,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,One year,Yes,Electronic check,48.83,2809.8,No
Male,0,No,No,37,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.24,1090.17,No
Male,1,No,No,6,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,86.6,524.29,No
Male,1,No,No,24,Yes,No phone service,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,60.98,1397.87,Yes
Female,1,No,Yes,35,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,55.49,1851.31,No
Male,0,Yes,No,69,Yes,No,DSL,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,80.69,5657.62,No
Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,One year,No,Electronic check,68.97,625.84,No
Male,0,Yes,No,37,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,113.67,4377.0,Yes
Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,Two year,No,Mailed check,99.97,5340.28,No
Female,1,Yes,No,56,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,40.67,2265.05,No
Female,1,No,No,27,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),68.0,1858.38,No
Male,1,Yes,No,4,No,No,Fiber optic,No,No internet service,No internet service,No,No,No,One year,Yes,Credit card (automatic),62.89,263.48,No
Female,0,No,Yes,66,No,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,72.52,4943.03,No
Male,0,No,No,48,Yes,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,28.78,1351.98,No
Female,1,No,Yes,24,Yes,No,DSL,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,52.77,1289.23,Yes
Female,0,Yes,No,61,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Two year,No,Electronic check,116.7,7080.46,No
Female,0,No,No,15,Yes,No phone service,No,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),41.65,615.55,No
Male,1,No,No,67,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,88.78,5672.26,No
Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),68.18,325.03,Yes
Female,1,Yes,No,40,Yes,No,DSL,No,Yes,No,No,No,No internet service,Two year,Yes,Electronic check,101.37,4018.81,No
Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,48.72,464.03,No
Female,1,Yes,No,53,Yes,No phone service,No,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),111.45,5664.56,No
Male,1,Yes,Yes,36,Yes,No,DSL,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),39.73,1467.02,No
Male,1,No,No,59,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,90.65,5113.08,Yes
Female,0,No,No,35,Yes,Yes,DSL,No,No,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),77.03,2565.68,Yes
Male,1,No,No,71,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),115.94,8637.36,Yes
Male,1,No,No,32,Yes,No,No,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,28.29,902.53,No
Female,1,Yes,No,37,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),36.43,1334.46,No
Female,0,No,No,2,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,23.5,48.91,Yes
Female,0,Yes,No,5,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),113.29,561.82,No
Male,1,No,No,34,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),44.11,1454.54,No
Male,1,Yes,No,36,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,109.13,3855.25,Yes
Female,0,Yes,No,68,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,36.12,2513.63,No
Male,0,No,No,29,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,32.56,958.45,No
Male,0,No,No,62,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,30.16,1954.97,No
Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,One year,No,Mailed check,62.75,4444.88,No
Male,0,No,Yes,25,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,113.81,2835.27,No
Female,0,Yes,Yes,27,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,One year,No,Electronic check,116.04,3268.34,No
Female,0,Yes,No,26,Yes,No phone service,No,No,Yes,No internet service,Yes,No internet service,No,Two year,No,Electronic check,38.06,964.52,No
Female,1,No,No,35,Yes,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),84.26,2825.1,No
Female,1,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,48.22,2485.09,No
Male,1,No,No,42,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),51.93,2265.37,No
Male,0,No,No,56,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,55.86,3212.2,Yes
Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,29.61,1862.39,No
Female,0,Yes,No,50,No,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),114.27,5434.58,Yes
Male,0,Yes,No,36,No,No phone service,No,No,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,53.69,2014.62,No
Female,1,No,No,58,Yes,No,No,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,19.87,1156.97,Yes
Male,1,Yes,No,50,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,Yes,No,One year,Yes,Electronic check,97.0,4765.65,No
Female,1,No,No,7,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,75.76,514.44,No
Male,0,Yes,Yes,17,Yes,Yes,No,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.61,1204.6,No
Male,1,No,No,22,No,Yes,No,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,89.94,2019.99,No
Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,28.78,115.08,Yes
Female,1,No,No,34,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),21.78,773.91,No
Male,1,Yes,No,24,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,76.65,1891.02,Yes
Male,1,No,No,2,Yes,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No internet service,One year,No,Mailed check,19.46,39.29,Yes
Female,0,Yes,No,17,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),73.62,1207.19,No
Male,0,Yes,No,23,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,98.19,2187.75,Yes
