concession_type,atc_code,drug_class,year,month,target,date,drug_id,lag_1,lag_12,rolling_mean_3,rolling_mean_6
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,3,18651.05,1994-03-01,D08_ANTISEPTICS AND DISINFECTANTS,3876.0,28939.75,9697.199999999999,12635.876666666669
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,4,3524.0,1994-04-01,D08_ANTISEPTICS AND DISINFECTANTS,18651.05,5027.0,14454.216666666665,12037.333333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,4,17216.53,1994-04-01,D08_ANTISEPTICS AND DISINFECTANTS,3524.0,23651.68,8683.683333333332,11905.166666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,5,3514.0,1994-05-01,D08_ANTISEPTICS AND DISINFECTANTS,17216.53,5046.0,13130.526666666667,11413.863333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,5,18024.59,1994-05-01,D08_ANTISEPTICS AND DISINFECTANTS,3514.0,23544.76,8084.843333333333,11269.529999999999
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,6,3432.0,1994-06-01,D08_ANTISEPTICS AND DISINFECTANTS,18024.59,4701.0,12918.373333333331,10801.028333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,6,18120.5,1994-06-01,D08_ANTISEPTICS AND DISINFECTANTS,3432.0,22242.31,8323.53,10727.028333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,7,3130.0,1994-07-01,D08_ANTISEPTICS AND DISINFECTANTS,18120.5,4317.0,13192.363333333333,10638.603333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,7,16560.68,1994-07-01,D08_ANTISEPTICS AND DISINFECTANTS,3130.0,20164.35,8227.5,10572.936666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,8,4353.0,1994-08-01,D08_ANTISEPTICS AND DISINFECTANTS,16560.68,4380.0,12603.726666666667,10463.628333333332
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,8,23392.65,1994-08-01,D08_ANTISEPTICS AND DISINFECTANTS,4353.0,20835.6,8014.56,10603.461666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,9,5285.0,1994-09-01,D08_ANTISEPTICS AND DISINFECTANTS,23392.65,3876.0,14768.776666666667,11498.138333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,9,28746.84,1994-09-01,D08_ANTISEPTICS AND DISINFECTANTS,5285.0,18651.05,11010.216666666667,11806.971666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,10,5026.0,1994-10-01,D08_ANTISEPTICS AND DISINFECTANTS,28746.84,3524.0,19141.49666666667,13578.028333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,10,27556.06,1994-10-01,D08_ANTISEPTICS AND DISINFECTANTS,5026.0,17216.53,13019.279999999999,13894.028333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,11,4509.0,1994-11-01,D08_ANTISEPTICS AND DISINFECTANTS,27556.06,3514.0,20442.966666666664,15726.591666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,11,24578.69,1994-11-01,D08_ANTISEPTICS AND DISINFECTANTS,4509.0,18024.59,12363.686666666666,15752.591666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,12,4139.0,1994-12-01,D08_ANTISEPTICS AND DISINFECTANTS,24578.69,3432.0,18881.25,15950.265
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1994,12,22372.79,1994-12-01,D08_ANTISEPTICS AND DISINFECTANTS,4139.0,18120.5,11075.563333333334,15759.265
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,1,4040.0,1995-01-01,D08_ANTISEPTICS AND DISINFECTANTS,22372.79,3130.0,17030.16,14696.923333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,1,21801.15,1995-01-01,D08_ANTISEPTICS AND DISINFECTANTS,4040.0,16560.68,10183.93,14532.590000000002
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,2,3959.0,1995-02-01,D08_ANTISEPTICS AND DISINFECTANTS,21801.15,4353.0,16071.313333333334,13573.438333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,2,21930.35,1995-02-01,D08_ANTISEPTICS AND DISINFECTANTS,3959.0,23392.65,9933.383333333333,13481.771666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,3,3418.0,1995-03-01,D08_ANTISEPTICS AND DISINFECTANTS,21930.35,5285.0,15896.833333333334,13040.381666666668
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,3,19132.57,1995-03-01,D08_ANTISEPTICS AND DISINFECTANTS,3418.0,28746.84,9769.116666666667,12920.215000000002
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,4,3435.0,1995-04-01,D08_ANTISEPTICS AND DISINFECTANTS,19132.57,5026.0,14826.973333333333,12380.178333333335
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,4,19680.65,1995-04-01,D08_ANTISEPTICS AND DISINFECTANTS,3435.0,27556.06,8661.856666666667,12279.345000000001
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,5,2505.0,1995-05-01,D08_ANTISEPTICS AND DISINFECTANTS,19680.65,4509.0,14082.74,11925.928333333335
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,5,14746.19,1995-05-01,D08_ANTISEPTICS AND DISINFECTANTS,2505.0,24578.69,8540.216666666667,11683.595000000001
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,6,809.0,1995-06-01,D08_ANTISEPTICS AND DISINFECTANTS,14746.19,4139.0,12310.613333333335,10486.235
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,6,5035.68,1995-06-01,D08_ANTISEPTICS AND DISINFECTANTS,809.0,22372.79,6020.063333333334,10051.401666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,7,627.0,1995-07-01,D08_ANTISEPTICS AND DISINFECTANTS,5035.68,4040.0,6863.623333333334,7701.920000000001
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,7,3948.37,1995-07-01,D08_ANTISEPTICS AND DISINFECTANTS,627.0,21801.15,2157.226666666667,7233.920000000001
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,8,801.0,1995-08-01,D08_ANTISEPTICS AND DISINFECTANTS,3948.37,3959.0,3203.683333333333,4611.873333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,8,5055.19,1995-08-01,D08_ANTISEPTICS AND DISINFECTANTS,801.0,21930.35,1792.1233333333332,4327.873333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,9,870.0,1995-09-01,D08_ANTISEPTICS AND DISINFECTANTS,5055.19,3418.0,3268.1866666666665,2712.7066666666665
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,9,5432.17,1995-09-01,D08_ANTISEPTICS AND DISINFECTANTS,870.0,19132.57,2242.063333333333,2722.873333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,10,817.0,1995-10-01,D08_ANTISEPTICS AND DISINFECTANTS,5432.17,3435.0,3785.786666666667,2788.955
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,10,5157.66,1995-10-01,D08_ANTISEPTICS AND DISINFECTANTS,817.0,19680.65,2373.056666666667,2820.6216666666664
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,11,756.0,1995-11-01,D08_ANTISEPTICS AND DISINFECTANTS,5157.66,2505.0,3802.2766666666666,3022.17
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,11,4697.38,1995-11-01,D08_ANTISEPTICS AND DISINFECTANTS,756.0,14746.19,2243.5533333333333,3014.67
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,12,605.0,1995-12-01,D08_ANTISEPTICS AND DISINFECTANTS,4697.38,809.0,3537.013333333334,2955.035
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1995,12,3821.7,1995-12-01,D08_ANTISEPTICS AND DISINFECTANTS,605.0,5035.68,2019.46,2910.8683333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,1,602.0,1996-01-01,D08_ANTISEPTICS AND DISINFECTANTS,3821.7,627.0,3041.36,2642.456666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,1,3766.87,1996-01-01,D08_ANTISEPTICS AND DISINFECTANTS,602.0,3948.37,1676.2333333333333,2606.6233333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,2,559.0,1996-02-01,D08_ANTISEPTICS AND DISINFECTANTS,3766.87,801.0,2730.19,2374.8250000000003
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,2,3585.52,1996-02-01,D08_ANTISEPTICS AND DISINFECTANTS,559.0,5055.19,1642.6233333333332,2341.991666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,3,558.0,1996-03-01,D08_ANTISEPTICS AND DISINFECTANTS,3585.52,870.0,2637.1299999999997,2156.681666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,3,3866.3,1996-03-01,D08_ANTISEPTICS AND DISINFECTANTS,558.0,5432.17,1567.506666666667,2148.8483333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,4,527.0,1996-04-01,D08_ANTISEPTICS AND DISINFECTANTS,3866.3,817.0,2669.94,2156.2816666666663
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,4,3574.55,1996-04-01,D08_ANTISEPTICS AND DISINFECTANTS,527.0,5157.66,1650.4333333333334,2143.7816666666663
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,5,417.0,1996-05-01,D08_ANTISEPTICS AND DISINFECTANTS,3574.55,756.0,2655.9500000000003,2111.728333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,5,2859.26,1996-05-01,D08_ANTISEPTICS AND DISINFECTANTS,417.0,4697.38,1506.1833333333334,2088.0616666666665
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,6,535.0,1996-06-01,D08_ANTISEPTICS AND DISINFECTANTS,2859.26,605.0,2283.6033333333335,1967.0183333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,6,3701.39,1996-06-01,D08_ANTISEPTICS AND DISINFECTANTS,535.0,3821.7,1270.42,1963.1850000000002
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,7,430.0,1996-07-01,D08_ANTISEPTICS AND DISINFECTANTS,3701.39,602.0,2365.2166666666667,1935.7
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,7,2915.36,1996-07-01,D08_ANTISEPTICS AND DISINFECTANTS,430.0,3766.87,1555.4633333333331,1919.5333333333335
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,8,582.0,1996-08-01,D08_ANTISEPTICS AND DISINFECTANTS,2915.36,559.0,2348.9166666666665,1809.6683333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,8,3661.39,1996-08-01,D08_ANTISEPTICS AND DISINFECTANTS,582.0,3585.52,1309.1200000000001,1837.1683333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,9,651.0,1996-09-01,D08_ANTISEPTICS AND DISINFECTANTS,3661.39,558.0,2386.25,1970.8566666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,9,4130.91,1996-09-01,D08_ANTISEPTICS AND DISINFECTANTS,651.0,3866.3,1631.4633333333331,1990.1899999999998
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,10,627.0,1996-10-01,D08_ANTISEPTICS AND DISINFECTANTS,4130.91,527.0,2814.433333333333,2061.7766666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,10,3931.09,1996-10-01,D08_ANTISEPTICS AND DISINFECTANTS,627.0,3574.55,1802.97,2094.61
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,11,575.0,1996-11-01,D08_ANTISEPTICS AND DISINFECTANTS,3931.09,417.0,2896.3333333333335,2263.898333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,11,3603.89,1996-11-01,D08_ANTISEPTICS AND DISINFECTANTS,575.0,2859.26,1711.03,2262.7316666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,12,565.0,1996-12-01,D08_ANTISEPTICS AND DISINFECTANTS,3603.89,535.0,2703.3266666666664,2253.148333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1996,12,3555.03,1996-12-01,D08_ANTISEPTICS AND DISINFECTANTS,565.0,3701.39,1581.2966666666664,2238.815
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,1,511.0,1997-01-01,D08_ANTISEPTICS AND DISINFECTANTS,3555.03,430.0,2574.64,2142.835
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,1,3175.01,1997-01-01,D08_ANTISEPTICS AND DISINFECTANTS,511.0,2915.36,1543.676666666667,2123.5016666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,2,439.0,1997-02-01,D08_ANTISEPTICS AND DISINFECTANTS,3175.01,582.0,2413.6800000000003,1997.4883333333335
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,2,2858.84,1997-02-01,D08_ANTISEPTICS AND DISINFECTANTS,439.0,3661.39,1375.0033333333333,1974.8216666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,3,458.0,1997-03-01,D08_ANTISEPTICS AND DISINFECTANTS,2858.84,651.0,2157.616666666667,1850.6466666666668
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,3,3035.2,1997-03-01,D08_ANTISEPTICS AND DISINFECTANTS,458.0,4130.91,1251.9466666666667,1832.8133333333335
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,4,369.0,1997-04-01,D08_ANTISEPTICS AND DISINFECTANTS,3035.2,627.0,2117.346666666667,1746.175
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,4,2504.97,1997-04-01,D08_ANTISEPTICS AND DISINFECTANTS,369.0,3931.09,1287.3999999999999,1722.5083333333332
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,5,338.0,1997-05-01,D08_ANTISEPTICS AND DISINFECTANTS,2504.97,575.0,1969.7233333333334,1610.835
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,5,2351.97,1997-05-01,D08_ANTISEPTICS AND DISINFECTANTS,338.0,3603.89,1070.6566666666665,1594.0016666666668
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,6,66.0,1997-06-01,D08_ANTISEPTICS AND DISINFECTANTS,2351.97,565.0,1731.6466666666665,1509.5233333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,6,356.93,1997-06-01,D08_ANTISEPTICS AND DISINFECTANTS,66.0,3555.03,918.6566666666666,1444.1899999999998
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,7,36.0,1997-07-01,D08_ANTISEPTICS AND DISINFECTANTS,356.93,511.0,924.9666666666666,997.8116666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,7,159.73,1997-07-01,D08_ANTISEPTICS AND DISINFECTANTS,36.0,3175.01,152.97666666666666,942.3116666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,8,47.0,1997-08-01,D08_ANTISEPTICS AND DISINFECTANTS,159.73,439.0,184.22,551.4383333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,8,207.49,1997-08-01,D08_ANTISEPTICS AND DISINFECTANTS,47.0,2858.84,80.91,502.9383333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,9,52.0,1997-09-01,D08_ANTISEPTICS AND DISINFECTANTS,207.49,458.0,138.07333333333335,145.525
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,9,225.32,1997-09-01,D08_ANTISEPTICS AND DISINFECTANTS,52.0,3035.2,102.16333333333334,143.19166666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,10,50.0,1997-10-01,D08_ANTISEPTICS AND DISINFECTANTS,225.32,369.0,161.60333333333332,121.25666666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,10,218.26,1997-10-01,D08_ANTISEPTICS AND DISINFECTANTS,50.0,2504.97,109.10666666666667,123.58999999999999
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,11,49.0,1997-11-01,D08_ANTISEPTICS AND DISINFECTANTS,218.26,338.0,164.52666666666667,133.345
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,11,214.73,1997-11-01,D08_ANTISEPTICS AND DISINFECTANTS,49.0,2351.97,105.75333333333333,133.6783333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,12,43.0,1997-12-01,D08_ANTISEPTICS AND DISINFECTANTS,214.73,66.0,160.66333333333333,134.885
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1997,12,188.33,1997-12-01,D08_ANTISEPTICS AND DISINFECTANTS,43.0,356.93,102.24333333333334,133.385
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,1,32.0,1998-01-01,D08_ANTISEPTICS AND DISINFECTANTS,188.33,36.0,148.6866666666667,127.22000000000001
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,1,140.8,1998-01-01,D08_ANTISEPTICS AND DISINFECTANTS,32.0,159.73,87.77666666666669,124.22000000000001
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,2,32.0,1998-02-01,D08_ANTISEPTICS AND DISINFECTANTS,140.8,47.0,120.37666666666667,111.31000000000002
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,2,149.13,1998-02-01,D08_ANTISEPTICS AND DISINFECTANTS,32.0,207.49,68.26666666666667,108.47666666666669
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,3,31.0,1998-03-01,D08_ANTISEPTICS AND DISINFECTANTS,149.13,52.0,107.31,97.54333333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,3,134.09,1998-03-01,D08_ANTISEPTICS AND DISINFECTANTS,31.0,225.32,70.71,95.54333333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,4,27.0,1998-04-01,D08_ANTISEPTICS AND DISINFECTANTS,134.09,50.0,104.74000000000001,86.50333333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,4,117.16,1998-04-01,D08_ANTISEPTICS AND DISINFECTANTS,27.0,218.26,64.03,85.67
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,5,34.0,1998-05-01,D08_ANTISEPTICS AND DISINFECTANTS,117.16,49.0,92.75,81.73
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,5,147.23,1998-05-01,D08_ANTISEPTICS AND DISINFECTANTS,34.0,214.73,59.38666666666666,82.06333333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,6,32.0,1998-06-01,D08_ANTISEPTICS AND DISINFECTANTS,147.23,43.0,99.46333333333332,81.74666666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,6,140.16,1998-06-01,D08_ANTISEPTICS AND DISINFECTANTS,32.0,188.33,71.07666666666667,81.91333333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,7,20.0,1998-07-01,D08_ANTISEPTICS AND DISINFECTANTS,140.16,32.0,106.46333333333332,82.925
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,7,87.73,1998-07-01,D08_ANTISEPTICS AND DISINFECTANTS,20.0,140.8,64.05333333333333,81.75833333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,8,46.0,1998-08-01,D08_ANTISEPTICS AND DISINFECTANTS,87.73,32.0,82.63,76.85333333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,8,200.91,1998-08-01,D08_ANTISEPTICS AND DISINFECTANTS,46.0,149.13,51.24333333333334,78.85333333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,9,54.0,1998-09-01,D08_ANTISEPTICS AND DISINFECTANTS,200.91,31.0,111.54666666666667,87.8
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,9,234.81,1998-09-01,D08_ANTISEPTICS AND DISINFECTANTS,54.0,134.09,100.30333333333333,91.46666666666665
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,10,43.0,1998-10-01,D08_ANTISEPTICS AND DISINFECTANTS,234.81,27.0,163.24,107.24166666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,10,187.77,1998-10-01,D08_ANTISEPTICS AND DISINFECTANTS,43.0,117.16,110.60333333333334,111.075
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,11,44.0,1998-11-01,D08_ANTISEPTICS AND DISINFECTANTS,187.77,34.0,155.19333333333336,127.74833333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,11,191.14,1998-11-01,D08_ANTISEPTICS AND DISINFECTANTS,44.0,147.23,91.58999999999999,127.415
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,12,42.0,1998-12-01,D08_ANTISEPTICS AND DISINFECTANTS,191.14,32.0,140.97,125.78666666666668
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1998,12,181.68,1998-12-01,D08_ANTISEPTICS AND DISINFECTANTS,42.0,140.16,92.38,123.78666666666668
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,1,44.0,1999-01-01,D08_ANTISEPTICS AND DISINFECTANTS,181.68,20.0,138.27333333333334,114.93166666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,1,192.2,1999-01-01,D08_ANTISEPTICS AND DISINFECTANTS,44.0,87.73,89.22666666666667,115.09833333333331
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,2,41.0,1999-02-01,D08_ANTISEPTICS AND DISINFECTANTS,192.2,46.0,139.29333333333332,115.83666666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,2,175.51,1999-02-01,D08_ANTISEPTICS AND DISINFECTANTS,41.0,200.91,92.39999999999999,115.33666666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,3,37.0,1999-03-01,D08_ANTISEPTICS AND DISINFECTANTS,175.51,54.0,136.23666666666665,112.73166666666667
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,3,166.1,1999-03-01,D08_ANTISEPTICS AND DISINFECTANTS,37.0,234.81,84.50333333333333,111.89833333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,4,25.0,1999-04-01,D08_ANTISEPTICS AND DISINFECTANTS,166.1,43.0,126.20333333333333,109.30166666666666
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,4,112.75,1999-04-01,D08_ANTISEPTICS AND DISINFECTANTS,25.0,187.77,76.03333333333333,106.13499999999999
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,5,24.0,1999-05-01,D08_ANTISEPTICS AND DISINFECTANTS,112.75,44.0,101.28333333333335,92.89333333333333
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,5,108.24,1999-05-01,D08_ANTISEPTICS AND DISINFECTANTS,24.0,191.14,53.916666666666664,90.06
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,6,19.0,1999-06-01,D08_ANTISEPTICS AND DISINFECTANTS,108.24,42.0,81.66333333333334,78.84833333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,6,84.67,1999-06-01,D08_ANTISEPTICS AND DISINFECTANTS,19.0,181.68,50.413333333333334,75.84833333333334
CONCESSIONAL NON-SAFETY NET,D08,ANTISEPTICS AND DISINFECTANTS,1999,7,32.0,1999-07-01,D08_ANTISEPTICS AND DISINFECTANTS,84.67,44.0,70.63666666666667,62.27666666666667
